recall	precision
1.0	0.0017204452090867595
1.0	0.0017204754130018785
1.0	0.001720505617977528
1.0	0.0017205358240137644
1.0	0.001720566031110643
1.0	0.0017205962392682198
1.0	0.0017206264484865511
1.0	0.0017206566587656923
1.0	0.0017206868701056994
1.0	0.0017207170825066283
1.0	0.001720747295968535
1.0	0.0017207775104914752
1.0	0.0017208077260755048
1.0	0.00172083794272068
1.0	0.0017208681604270564
1.0	0.0017208983791946898
1.0	0.0017209285990236365
1.0	0.0017209588199139521
1.0	0.0017209890418656926
1.0	0.001721019264878914
1.0	0.0017210494889536721
1.0	0.001721079714090023
1.0	0.0017211099402880225
1.0	0.0017211401675477265
1.0	0.0017211703958691911
1.0	0.001721200625252472
1.0	0.0017212308556976254
1.0	0.0017212610872047072
1.0	0.0017212913197737732
1.0	0.0017213215534048795
1.0	0.0017213517880980819
1.0	0.0017213820238534366
1.0	0.0017214122606709994
1.0	0.0017214424985508264
1.0	0.0017214727374929735
1.0	0.0017215029774974968
1.0	0.001721533218564452
1.0	0.0017215634606938955
1.0	0.001721593703885883
1.0	0.0017216239481404705
1.0	0.001721654193457714
1.0	0.0017216844398376698
1.0	0.0017217146872803935
1.0	0.0017217449357859415
1.0	0.0017217751853543695
1.0	0.0017218054359857337
1.0	0.0017218356876800899
1.0	0.0017218659404374945
1.0	0.0017218961942580032
1.0	0.0017219264491416723
1.0	0.0017219567050885578
1.0	0.0017219869620987156
1.0	0.0017220172201722018
1.0	0.0017220474793090725
1.0	0.0017220777395093837
1.0	0.0017221080007731914
1.0	0.0017221382631005518
1.0	0.001722168526491521
1.0	0.001722198790946155
1.0	0.0017222290564645098
1.0	0.0017222593230466416
1.0	0.0017222895906926065
1.0	0.0017223198594024604
1.0	0.0017223501291762596
1.0	0.0017223804000140602
1.0	0.0017224106719159183
1.0	0.0017224409448818897
1.0	0.001722471218912031
1.0	0.0017225014940063978
1.0	0.0017225317701650468
1.0	0.0017225620473880336
1.0	0.0017225923256754144
1.0	0.0017226226050272456
1.0	0.0017226528854435831
1.0	0.0017226831669244832
1.0	0.0017227134494700019
1.0	0.0017227437330801954
1.0	0.00172277401775512
1.0	0.0017228043034948316
1.0	0.0017228345902993865
1.0	0.0017228648781688408
1.0	0.0017228951671032506
1.0	0.0017229254571026723
1.0	0.0017229557481671619
1.0	0.0017229860402967756
1.0	0.0017230163334915696
1.0	0.0017230466277516
1.0	0.001723076923076923
1.0	0.0017231072194675951
1.0	0.001723137516923672
1.0	0.0017231678154452103
1.0	0.001723198115032266
1.0	0.0017232284156848954
1.0	0.0017232587174031545
1.0	0.0017232890201870998
1.0	0.0017233193240367875
1.0	0.0017233496289522738
1.0	0.0017233799349336146
1.0	0.0017234102419808666
1.0	0.0017234405500940859
1.0	0.0017234708592733284
1.0	0.0017235011695186507
1.0	0.001723531480830109
1.0	0.0017235617932077596
1.0	0.0017235921066516586
1.0	0.0017236224211618623
1.0	0.001723652736738427
1.0	0.0017236830533814088
1.0	0.0017237133710908644
1.0	0.0017237436898668496
1.0	0.001723774009709421
1.0	0.0017238043306186347
1.0	0.001723834652594547
1.0	0.0017238649756372143
1.0	0.001723895299746693
1.0	0.001723925624923039
1.0	0.001723955951166309
1.0	0.0017239862784765591
1.0	0.0017240166068538457
1.0	0.0017240469362982248
1.0	0.0017240772668097534
1.0	0.001724107598388487
1.0	0.0017241379310344827
1.0	0.0017241682647477965
1.0	0.0017241985995284845
1.0	0.0017242289353766032
1.0	0.001724259272292209
1.0	0.0017242896102753584
1.0	0.0017243199493261075
1.0	0.0017243502894445128
1.0	0.0017243806306306306
1.0	0.0017244109728845173
1.0	0.0017244413162062291
1.0	0.0017244716605958226
1.0	0.001724502006053354
1.0	0.0017245323525788797
1.0	0.0017245627001724563
1.0	0.0017245930488341398
1.0	0.0017246233985639872
1.0	0.001724653749362054
1.0	0.0017246841012283974
1.0	0.0017247144541630735
1.0	0.0017247448081661387
1.0	0.0017247751632376493
1.0	0.001724805519377662
1.0	0.001724835876586233
1.0	0.0017248662348634187
1.0	0.0017248965942092758
1.0	0.0017249269546238603
1.0	0.001724957316107229
1.0	0.0017249876786594382
1.0	0.0017250180422805443
1.0	0.0017250484069706038
1.0	0.0017250787727296731
1.0	0.0017251091395578087
1.0	0.0017251395074550672
1.0	0.0017251698764215047
1.0	0.001725200246457178
1.0	0.0017252306175621435
1.0	0.0017252609897364577
1.0	0.0017252913629801768
1.0	0.0017253217372933576
1.0	0.0017253521126760563
1.0	0.0017253824891283298
1.0	0.0017254128666502342
1.0	0.001725443245241826
1.0	0.0017254736249031621
1.0	0.001725504005634299
1.0	0.0017255343874352925
1.0	0.0017255647703061996
1.0	0.001725595154247077
1.0	0.001725625539257981
1.0	0.0017256559253389682
1.0	0.001725686312490095
1.0	0.001725716700711418
1.0	0.0017257470900029937
1.0	0.0017257774803648787
1.0	0.0017258078717971295
1.0	0.0017258382642998027
1.0	0.0017258686578729549
1.0	0.0017258990525166427
1.0	0.0017259294482309224
1.0	0.0017259598450158507
1.0	0.0017259902428714842
1.0	0.0017260206417978794
1.0	0.0017260510417950931
